	ID	Label	Area	cm2	Circ	Slice	AR	Round	Solidity	Mean.Green	Mean.Blue	Mean.Red
338	ID_08	0014-1989	20236	3.161875	0.9	1	1.1	0.9	1	29	18.8	50.3
339	ID_08	0015-2010	18539	2.89671875	0.7	1	1.1	0.9	1	32.8	21.3	54.5
340	ID_08	0016-2033	19641	3.06890625	0.8	1	1.1	0.9	1	30.9	20.6	51.6
373	ID_09	0001-0637	104855	16.38359375	0.6	1	2	0.5	1	159.1	42.2	179.7
374	ID_09	0002-0743	99261	15.50953125	0.7	1	1.7	0.6	1	155.5	40.9	175.6
375	ID_09	0004-1354	108967	17.02609375	0.8	1	1.5	0.7	1	155.3	40.3	174
376	ID_09	0005-1969	106658	16.6653125	0.6	1	2	0.5	1	156.8	40.6	175.2
377	ID_09	0006-2000	101547	15.86671875	0.6	1	2.1	0.5	0.9	155.8	40.9	173.8
388	ID_10	0001-1011	13843	2.16296875	0.4	1	1.2	0.8	0.9	87.2	107.3	57.2
389	ID_10	0002-1010	13038	2.0371875	0.5	1	1.2	0.8	0.9	83.4	100.4	55.9
390	ID_10	0003-1023	13714	2.1428125	0.4	1	1.1	0.9	0.9	127.3	37.8	146.9
391	ID_10	0004-1031	12049	1.88265625	0.5	1	1.1	0.9	0.9	85.2	98.6	61.7
392	ID_10	0005-1275	13907	2.17296875	0.3	1	1.2	0.9	0.9	85.3	107	55.1
393	ID_10	0006-1309	12759	1.99359375	0.4	1	1.2	0.8	0.9	74.4	65.7	142.7
394	ID_10	0007-1325	13369	2.08890625	0.5	1	1.1	0.9	0.9	85.7	102	58.7
395	ID_10	0008-1337	12535	1.95859375	0.4	1	1.3	0.8	0.9	79.5	72.7	145.6
396	ID_10	0009-1630	13405	2.09453125	0.4	1	1.1	0.9	0.9	118.2	40.6	99.2
397	ID_10	0010-1635	12138	1.8965625	0.4	1	1.2	0.9	0.9	71.9	63.9	137.4
398	ID_10	0011-1650	13117	2.04953125	0.5	1	1.1	0.9	0.9	125.7	36	144.1
399	ID_10	0012-1669	13077	2.04328125	0.4	1	1.2	0.9	0.9	47.6	43.5	64.9
400	ID_10	0013-1911	14201	2.21890625	0.6	1	1	1	1	52.4	49.1	69.9
401	ID_10	0014-1939	12639	1.97484375	0.4	1	1.1	0.9	0.9	85.8	101.5	58.3
402	ID_10	0015-1977	12128	1.895	0.5	1	1.2	0.9	0.9	77.2	69.2	142.4
403	ID_10	0016-1986	11228	1.754375	0.4	1	1.2	0.9	0.9	53.4	49.6	71.2
404	ID_10	0017-2223	13112	2.04875	0.5	1	1.1	0.9	0.9	51.4	48	68.1
405	ID_10	0018-2273	12417	1.94015625	0.4	1	1.2	0.8	0.9	79.2	70.1	143.2
406	ID_10	0019-2286	11966	1.8696875	0.4	1	1.2	0.8	0.9	53.1	48.9	70.1
407	ID_10	0020-2293	12943	2.02234375	0.4	1	1.2	0.8	0.9	111.7	40.1	95.8
448	ID_11	0001-0852	66394	10.3740625	0.1	1	1.5	0.7	0.7	49.7	60.9	49.1
449	ID_11	0002-0859	96275	15.04296875	0.3	1	1.3	0.8	1	66.9	58.9	77.3
450	ID_11	0009-1671	98644	15.413125	0.4	1	1.3	0.8	1	65	55.7	72.3
451	ID_11	0010-1677	89432	13.97375	0.2	1	1.4	0.7	1	69	58.3	71.3
460	ID_12	0001-1080	25571	3.99546875	0.5	1	1.2	0.8	0.9	125.2	43.1	133.7
461	ID_12	0002-1081	27907	4.36046875	0.6	1	1.1	0.9	0.9	65.5	63.7	112.9
462	ID_12	0003-1081	24488	3.82625	0.6	1	1.2	0.8	0.9	131.3	54.9	137.8
463	ID_12	0004-1125	24655	3.85234375	0.6	1	1.2	0.9	0.9	93.5	84.3	57.9
464	ID_12	0005-1462	23146	3.6165625	0.6	1	1.1	0.9	0.9	124.9	40.6	128.7
465	ID_12	0006-1482	23768	3.71375	0.7	1	1.2	0.9	1	96	87	56.3
466	ID_12	0007-1493	24049	3.75765625	0.6	1	1.2	0.9	0.9	123.5	43	126.7
467	ID_12	0008-1527	27746	4.3353125	0.7	1	1.2	0.9	0.9	93.5	84.2	57.1
468	ID_12	0009-1890	27073	4.23015625	0.6	1	1.2	0.9	0.9	96	85.5	61.3
469	ID_12	0010-1882	26034	4.0678125	0.6	1	1.2	0.8	0.9	128.7	42.5	138.7
470	ID_12	0011-1896	22494	3.5146875	0.7	1	1.2	0.8	1	124.7	42.2	125.6
471	ID_12	0012-1908	27294	4.2646875	0.6	1	1.1	0.9	0.9	126.2	51.6	131.5
472	ID_12	0013-2185	27048	4.22625	0.6	1	1.2	0.9	0.9	78.5	79.4	86.1
473	ID_12	0014-2197	25716	4.018125	0.6	1	1.1	0.9	0.9	67.5	64.7	110.4
474	ID_12	0015-2216	27634	4.3178125	0.7	1	1.1	0.9	0.9	89.8	78.9	52.7
475	ID_12	0016-2217	29296	4.5775	0.7	1	1.1	0.9	1	128	54.5	134.6
508	ID_13	0003-1020	20044	3.131875	0.7	1	1.6	0.6	0.9	87.9	25.7	148.4
509	ID_13	0004-1023	19053	2.97703125	0.6	1	1.5	0.7	0.9	114.1	29.2	148.9
510	ID_13	0005-1038	21346	3.3353125	0.6	1	1.5	0.6	0.9	89.1	29.9	145.9
511	ID_13	0006-1057	21444	3.350625	0.6	1	1.5	0.7	0.9	45.2	28.7	130.7
512	ID_13	0007-1080	18804	2.938125	0.5	1	1.5	0.7	0.9	114.8	57.2	147.1
513	ID_13	0008-1129	21362	3.3378125	0.5	1	1.5	0.6	0.9	49.7	33.5	130
514	ID_13	0009-1300	19046	2.9759375	0.6	1	1.5	0.7	0.9	42.5	26.8	129.7
515	ID_13	0010-1314	19580	3.059375	0.6	1	1.6	0.6	0.9	38.2	23.1	128.6
516	ID_13	0011-1332	21338	3.3340625	0.6	1	1.5	0.6	0.9	69.7	34.2	52.7
517	ID_13	0012-1337	19417	3.03390625	0.6	1	1.6	0.6	0.9	87.2	27.3	145.2
518	ID_13	0013-1375	18017	2.81515625	0.6	1	1.6	0.6	0.9	110.3	29.2	144.1
519	ID_13	0014-1442	22387	3.49796875	0.6	1	1.6	0.6	0.9	68.8	33.8	50.8
520	ID_13	0015-1652	19948	3.116875	0.6	1	1.6	0.6	0.9	41.1	25	128.7
521	ID_13	0016-1656	19608	3.06375	0.7	1	1.6	0.6	0.9	42	25.9	131.3
522	ID_13	0017-1663	18746	2.9290625	0.5	1	1.7	0.6	0.9	113.7	56.4	144.6
523	ID_13	0018-1654	19134	2.9896875	0.7	1	1.5	0.7	1	86	27.9	143.3
524	ID_13	0019-1665	17852	2.789375	0.6	1	1.5	0.6	0.9	117.3	59.4	148.6
525	ID_13	0020-1698	20860	3.259375	0.6	1	1.5	0.7	0.9	44	29.4	124.8
526	ID_13	0021-1920	19851	3.10171875	0.7	1	1.4	0.7	0.9	67.4	31.7	48.7
527	ID_13	0022-1934	18173	2.83953125	0.5	1	1.7	0.6	0.9	115.6	57.9	145.4
528	ID_13	0023-1957	19616	3.065	0.7	1	1.6	0.6	0.9	84.9	27.3	143
529	ID_13	0024-1975	18606	2.9071875	0.7	1	1.7	0.6	0.9	85.9	26.3	144.5
530	ID_13	0025-1986	20899	3.26546875	0.6	1	1.5	0.7	0.9	45.4	29.4	126.5
531	ID_13	0026-2061	21246	3.3196875	0.6	1	1.4	0.7	0.9	70.9	37.1	56.7
580	ID_14	0001-0723	10575	1.65234375	0.7	1	1.1	0.9	0.9	31.7	21.6	99.7
581	ID_14	0002-0731	10309	1.61078125	0.7	1	1.1	0.9	0.9	82.2	26.9	179.7
582	ID_14	0003-0750	11554	1.8053125	0.7	1	1.3	0.7	0.9	154.8	34.5	184.8
583	ID_14	0004-0803	9931	1.55171875	0.8	1	1.1	0.9	1	79.9	23.1	176.2
584	ID_14	0005-0808	10498	1.6403125	0.8	1	1.1	0.9	1	31.9	22.1	92
585	ID_14	0006-0925	10081	1.57515625	0.7	1	1.1	0.9	0.9	103.4	32.8	58
586	ID_14	0007-0966	11445	1.78828125	0.7	1	1.2	0.8	0.9	157.2	35.8	186.7
587	ID_14	0008-0969	11639	1.81859375	0.7	1	1.2	0.8	0.9	154.3	35.5	183.3
588	ID_14	0009-0978	9960	1.55625	0.7	1	1.1	0.9	0.9	78.8	23	178.2
589	ID_14	0010-1004	10292	1.608125	0.8	1	1	1	1	38	31.3	57.6
590	ID_14	0011-1124	10591	1.65484375	0.8	1	1.1	0.9	0.9	34.3	27.2	52
591	ID_14	0012-1165	11557	1.80578125	0.7	1	1.1	0.9	0.9	155.4	40.5	183
592	ID_14	0013-1167	10017	1.56515625	0.7	1	1.1	0.9	0.9	31.9	21.8	102.2
593	ID_14	0014-1173	10336	1.615	0.7	1	1	1	0.9	31.1	25	49.1
594	ID_14	0015-1189	9947	1.55421875	0.8	1	1.1	0.9	1	99.4	28	52.2
595	ID_14	0016-1317	11803	1.84421875	0.7	1	1.1	0.9	0.9	154.8	34.9	183.7
596	ID_14	0017-1321	11178	1.7465625	0.8	1	1.1	0.9	1	153.9	34.9	182.7
597	ID_14	0018-1356	11448	1.78875	0.8	1	1.2	0.9	1	157.4	35.2	184.5
598	ID_14	0019-1392	10553	1.64890625	0.8	1	1.2	0.9	1	35.7	28.6	52.9
599	ID_14	0020-1407	11909	1.86078125	0.7	1	1.2	0.8	0.9	153.1	35.9	181.1
600	ID_14	0021-1576	9626	1.5040625	0.7	1	1	1	0.9	106.4	33.3	59.1
601	ID_14	0022-1586	11614	1.8146875	0.8	1	1.1	0.9	1	154.1	35.9	181.3
602	ID_14	0023-1597	10404	1.625625	0.7	1	1.1	0.9	0.9	81.9	28.1	176.4
603	ID_14	0024-1609	11392	1.78	0.7	1	1.2	0.8	1	153.4	38.2	180.3
604	ID_14	0025-1630	10733	1.67703125	0.8	1	1.2	0.9	1	35.1	28.3	51.5
605	ID_14	0026-1875	11333	1.77078125	0.7	1	1.3	0.8	0.9	155.4	34.9	182.6
606	ID_14	0027-1896	11744	1.835	0.8	1	1.1	0.9	1	155.2	37	181
607	ID_14	0028-1912	10377	1.62140625	0.7	1	1.1	0.9	0.9	36	29.6	53.6
608	ID_14	0029-1913	10658	1.6653125	0.7	1	1.2	0.9	0.9	35.3	28.7	51.6
609	ID_14	0030-1943	9644	1.506875	0.7	1	1.1	0.9	0.9	102.1	26.5	48.4
670	ID_15	0001-0257	40022	6.2534375	0.3	1	4.5	0.2	0.9	89	46.8	151.6
