 	ID	Label	Color	Area	cm2	Mean	StdDev	Mode	Min	Max	Circ.	Slice	AR	Round	Solidity	MinThr	MaxThr
71	ID_02	0007-1473	Green	46849	7.32015625	25.7	18.3	8	2	96	0.5	2	3.7	0.3	0.9	0	255
72	ID_02	0008-1538	Green	47657	7.44640625	28.7	19.1	9	3	100	0.4	2	3.4	0.3	0.9	0	255
73	ID_02	0009-2101	Green	47539	7.42796875	28.8	17.7	11	5	96	0.5	2	3.7	0.3	1	0	255
74	ID_02	0010-2125	Green	49028	7.660625	29	18.2	15	6	97	0.5	2	3.3	0.3	1	0	255
75	ID_02	0011-2139	Green	50027	7.81671875	32.8	15.1	36	6	96	0.5	2	3.5	0.3	1	0	255
76	ID_02	0012-2141	Green	47460	7.415625	30.4	18.2	19	7	96	0.5	2	3.5	0.3	1	0	255
77	ID_02	0013-2688	Green	46982	7.3409375	31.8	14.8	20	10	110	0.5	2	3.5	0.3	1	0	255
78	ID_02	0014-2755	Green	50055	7.82109375	32.9	17.2	17	5	98	0.5	2	3.4	0.3	1	0	255
79	ID_02	0015-2766	Green	51764	8.088125	26.4	18.5	12	5	112	0.4	2	3.4	0.3	0.9	0	255
80	ID_02	0016-2778	Green	51711	8.07984375	28.5	16.6	14	7	96	0.5	2	3.5	0.3	0.9	0	255
81	ID_02	0001-0809	Blue	48070	7.5109375	18.2	12.5	16	0	97	0.5	3	3.7	0.3	0.9	0	255
82	ID_02	0002-0822	Blue	46835	7.31796875	16	12.8	6	0	132	0.4	3	3.8	0.3	0.9	0	255
83	ID_02	0003-0838	Blue	49770	7.7765625	17.5	14.1	5	0	93	0.5	3	3.7	0.3	1	0	255
84	ID_02	0004-0882	Blue	51008	7.97	20.6	18	4	0	92	0.5	3	3.4	0.3	1	0	255
85	ID_02	0005-1470	Blue	53561	8.36890625	25.6	15.7	6	0	93	0.5	3	3.4	0.3	0.9	0	255
86	ID_02	0006-1460	Blue	47344	7.3975	22.1	16	5	0	88	0.5	3	3.5	0.3	1	0	255
